participant,login entry,card position,card label,category label,complete,comment,start time,finish time
1,a@b.c,2,seasons,to do list,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,13,location,to do list,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,14,painting,to do list,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,1,storage,storage,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,12,lock,storage,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,3,snowmobile,personal items,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,7,camera,personal items,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,9,clothing,personal items,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,10,furniture,personal items,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,4,bicycle,fun /watched,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,5,motorcycle,fun /watched,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,8,car,fun /watched,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,11,attendee,fun /watched,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,6,fence,security,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
1,a@b.c,15,signs,security,1,"",2015-10-14 15:50:46,2015-10-14 15:56:58
2,not@real.com,3,snowmobile,Automobile,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,4,bicycle,Automobile,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,5,motorcycle,Automobile,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,8,car,Automobile,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,7,camera,Retail,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,9,clothing,Retail,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,10,furniture,Retail,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,1,storage,Services,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,2,seasons,Services,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,6,fence,Services,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,12,lock,Services,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,14,painting,Services,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,15,signs,Services,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,11,attendee,Personal,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
2,not@real.com,13,location,Personal,1,"",2015-10-14 15:58:42,2015-10-14 16:09:34
